,0,1
2263,07 apr 2009,2009-04-07
2264,aug 23 2001,2001-08-23
2265,8/16/89,1989-08-16
2266,tuesday december 2 2003,2003-12-02
2267,sunday june 5 1977,1977-06-05
2268,14 09 82,1982-09-14
2269,tuesday may 4 1993,1993-05-04
2270,10 03 14,2014-03-10
2271,july 4 1998,1998-07-04
2272,8 december 1993,1993-12-08
2273,may 31 2012,2012-05-31
2274,3/19/06,2006-03-19
2275,sunday january 14 2001,2001-01-14
2276,tuesday june 13 2000,2000-06-13
2277,wednesday july 18 2001,2001-07-18
2278,27 jan 1974,1974-01-27
2279,sunday july 11 1982,1982-07-11
2280,tuesday june 9 1992,1992-06-09
2281,15.07.79,1979-07-15
2282,april 21 1972,1972-04-21
2283,10.11.10,2010-11-10
2284,thursday september 30 1976,1976-09-30
2285,tuesday november 9 1971,1971-11-09
2286,thursday december 18 1986,1986-12-18
2287,april 28 1976,1976-04-28
2288,04.03.90,1990-03-04
2289,feb 27 1985,1985-02-27
2290,march 15 1971,1971-03-15
2291,04.01.84,1984-01-04
2292,8/13/74,1974-08-13
2293,friday may 25 1984,1984-05-25
2294,saturday august 9 1986,1986-08-09
2295,tuesday august 31 1982,1982-08-31
2296,28 january 2009,2009-01-28
2297,2 jul 2005,2005-07-02
2298,11/9/99,1999-11-09
2299,monday march 12 2012,2012-03-12
2300,7/7/76,1976-07-07
2301,15.04.09,2009-04-15
2302,sep 9 1974,1974-09-09
2303,may 8 2005,2005-05-08
2304,15 may 2012,2012-05-15
2305,september 17 2016,2016-09-17
2306,saturday july 5 2003,2003-07-05
2307,saturday may 18 2002,2002-05-18
2308,saturday december 7 2013,2013-12-07
2309,october 18 2012,2012-10-18
2310,august 26 1989,1989-08-26
2311,monday september 22 1997,1997-09-22
2312,friday march 3 1972,1972-03-03
2313,thursday may 14 2009,2009-05-14
2314,10 june 1980,1980-06-10
2315,05 jun 2013,2013-06-05
2316,11 december 2005,2005-12-11
2317,sunday february 6 1983,1983-02-06
2318,saturday february 25 2012,2012-02-25
2319,sep 10 2000,2000-09-10
2320,tuesday november 28 1978,1978-11-28
2321,friday april 13 2001,2001-04-13
2322,sunday september 14 2003,2003-09-14
2323,13 apr 1982,1982-04-13
2324,june 5 1981,1981-06-05
2325,16 09 83,1983-09-16
2326,26 december 1989,1989-12-26
2327,april 21 1987,1987-04-21
2328,7 sep 1977,1977-09-07
2329,27 jan 1994,1994-01-27
2330,friday june 10 1977,1977-06-10
2331,wednesday may 17 1972,1972-05-17
2332,sep 6 2017,2017-09-06
2333,wednesday may 6 1992,1992-05-06
2334,october 11 1999,1999-10-11
2335,31 oct 2013,2013-10-31
2336,saturday december 9 1989,1989-12-09
2337,saturday november 13 1971,1971-11-13
2338,wednesday november 15 1989,1989-11-15
2339,28 01 87,1987-01-28
2340,thursday february 13 1975,1975-02-13
2341,may 4 2014,2014-05-04
2342,thursday may 19 2016,2016-05-19
2343,monday october 23 1989,1989-10-23
2344,december 14 2017,2017-12-14
2345,11/5/08,2008-11-05
2346,may 9 1993,1993-05-09
2347,thursday december 3 1981,1981-12-03
2348,26 may 1972,1972-05-26
2349,wednesday august 29 2001,2001-08-29
2350,24 may 1993,1993-05-24
2351,10 january 2006,2006-01-10
2352,wednesday march 28 1984,1984-03-28
2353,march 12 1997,1997-03-12
2354,28 april 2005,2005-04-28
2355,thursday february 6 1986,1986-02-06
2356,friday january 12 1996,1996-01-12
2357,wednesday november 27 2002,2002-11-27
2358,25 april 1972,1972-04-25
2359,20 jan 1978,1978-01-20
2360,thursday january 3 2008,2008-01-03
2361,sunday july 19 1987,1987-07-19
2362,21 nov 1994,1994-11-21
2363,june 15 1984,1984-06-15
2364,january 28 1972,1972-01-28
2365,april 20 1988,1988-04-20
2366,10 august 2010,2010-08-10
2367,thursday march 31 2016,2016-03-31
2368,10 apr 2005,2005-04-10
2369,28 sep 2007,2007-09-28
2370,saturday july 1 1972,1972-07-01
2371,friday october 1 2010,2010-10-01
2372,april 26 2004,2004-04-26
2373,monday february 17 2003,2003-02-17
2374,26 apr 2004,2004-04-26
2375,15.05.90,1990-05-15
2376,thursday january 1 1998,1998-01-01
2377,1/12/76,1976-01-12
2378,26 september 2011,2011-09-26
2379,sunday february 19 1984,1984-02-19
2380,november 27 1994,1994-11-27
2381,december 6 1985,1985-12-06
2382,august 3 1996,1996-08-03
2383,22 oct 2014,2014-10-22
2384,30 july 2008,2008-07-30
2385,tuesday february 20 1979,1979-02-20
2386,25 apr 1982,1982-04-25
2387,thursday march 20 1980,1980-03-20
2388,saturday may 22 1982,1982-05-22
2389,monday january 12 1976,1976-01-12
2390,3 july 1975,1975-07-03
2391,19 apr 1973,1973-04-19
2392,wednesday october 24 2001,2001-10-24
2393,23 01 78,1978-01-23
2394,19 september 1974,1974-09-19
2395,11 february 1989,1989-02-11
2396,7 february 2015,2015-02-07
2397,10 march 1973,1973-03-10
2398,dec 11 1973,1973-12-11
2399,saturday february 16 1974,1974-02-16
2400,wednesday may 22 2002,2002-05-22
2401,monday november 8 1982,1982-11-08
2402,mar 26 2002,2002-03-26
2403,30 04 74,1974-04-30
2404,tuesday november 25 1986,1986-11-25
2405,1/24/05,2005-01-24
2406,saturday february 14 1981,1981-02-14
2407,october 18 2017,2017-10-18
2408,monday february 25 2013,2013-02-25
2409,sunday november 22 2015,2015-11-22
2410,6/30/13,2013-06-30
2411,monday august 5 2002,2002-08-05
2412,november 10 1981,1981-11-10
2413,wednesday may 22 2002,2002-05-22
2414,tuesday september 4 2001,2001-09-04
2415,06.12.05,2005-12-06
2416,wednesday march 11 1987,1987-03-11
2417,29 dec 1991,1991-12-29
2418,6 nov 2012,2012-11-06
2419,9 august 1992,1992-08-09
2420,25 01 90,1990-01-25
2421,tuesday august 31 1982,1982-08-31
2422,31 aug 1987,1987-08-31
2423,02.12.96,1996-12-02
2424,october 22 1981,1981-10-22
2425,2 jun 1975,1975-06-02
2426,24 07 77,1977-07-24
2427,february 25 2012,2012-02-25
2428,05 mar 2012,2012-03-05
2429,19 nov 2008,2008-11-19
2430,15 december 2000,2000-12-15
2431,21 july 1999,1999-07-21
2432,friday july 1 2016,2016-07-01
2433,8 mar 1985,1985-03-08
2434,11.09.03,2003-09-11
2435,may 5 2005,2005-05-05
2436,02 nov 2000,2000-11-02
2437,monday september 22 1997,1997-09-22
2438,27 january 1992,1992-01-27
2439,7 may 2017,2017-05-07
2440,29.04.04,2004-04-29
2441,tuesday december 10 1996,1996-12-10
2442,18 06 04,2004-06-18
2443,6 may 1970,1970-05-06
2444,tuesday march 1 1977,1977-03-01
2445,10 april 2004,2004-04-10
2446,27 jul 2001,2001-07-27
2447,monday july 12 2004,2004-07-12
2448,friday february 21 2014,2014-02-21
2449,saturday october 14 1972,1972-10-14
2450,monday july 2 1979,1979-07-02
2451,thursday january 26 1995,1995-01-26
2452,wednesday january 7 2004,2004-01-07
2453,thursday september 13 2012,2012-09-13
2454,saturday june 17 2017,2017-06-17
2455,aug 23 1973,1973-08-23
2456,march 17 2018,2018-03-17
2457,thursday july 1 1999,1999-07-01
2458,20 june 1970,1970-06-20
2459,1 december 2008,2008-12-01
2460,21.05.86,1986-05-21
2461,friday december 8 1978,1978-12-08
2462,11/26/07,2007-11-26
2463,friday may 26 2017,2017-05-26
2464,sunday april 13 2014,2014-04-13
2465,14.01.79,1979-01-14
2466,april 18 2008,2008-04-18
2467,29 august 1977,1977-08-29
2468,21.04.83,1983-04-21
2469,april 21 1996,1996-04-21
2470,wednesday december 7 1988,1988-12-07
2471,october 25 1978,1978-10-25
2472,14 sep 1972,1972-09-14
2473,march 12 2002,2002-03-12
2474,thursday august 13 1998,1998-08-13
2475,saturday march 5 2011,2011-03-05
2476,may 6 2009,2009-05-06
2477,21 february 1999,1999-02-21
2478,sunday january 23 1994,1994-01-23
2479,19 aug 1979,1979-08-19
2480,sunday july 19 2015,2015-07-19
2481,19.02.96,1996-02-19
2482,saturday december 29 2001,2001-12-29
2483,23 sep 1983,1983-09-23
2484,wednesday november 21 2007,2007-11-21
2485,saturday march 25 2006,2006-03-25
2486,29 sep 1984,1984-09-29
2487,jan 6 2005,2005-01-06
2488,friday january 11 1985,1985-01-11
2489,11 march 1999,1999-03-11
2490,tuesday may 7 2013,2013-05-07
2491,saturday june 24 1995,1995-06-24
2492,saturday january 8 2005,2005-01-08
2493,7/2/85,1985-07-02
2494,monday october 27 2008,2008-10-27
2495,28 05 74,1974-05-28
2496,october 21 2017,2017-10-21
2497,28 apr 1978,1978-04-28
2498,june 21 1984,1984-06-21
2499,22 march 1978,1978-03-22
2500,nov 30 1972,1972-11-30
2501,21 12 73,1973-12-21
2502,16 apr 1993,1993-04-16
2503,01 jun 2018,2018-06-01
2504,11 mar 2008,2008-03-11
2505,thursday january 15 2015,2015-01-15
2506,28 mar 2003,2003-03-28
2507,october 27 2004,2004-10-27
2508,5 02 18,2018-02-05
2509,wednesday may 22 1991,1991-05-22
2510,thursday september 4 1980,1980-09-04
2511,17.04.80,1980-04-17
2512,monday july 10 2017,2017-07-10
2513,friday october 20 1978,1978-10-20
2514,march 16 2016,2016-03-16
2515,13 nov 2003,2003-11-13
2516,sunday june 24 1979,1979-06-24
2517,wednesday june 20 1973,1973-06-20
2518,sunday march 28 2004,2004-03-28
2519,wednesday december 16 2015,2015-12-16
2520,march 27 1976,1976-03-27
2521,may 13 1981,1981-05-13
2522,jan 30 1991,1991-01-30
2523,4 june 1990,1990-06-04
2524,thursday december 23 1976,1976-12-23
2525,december 6 2007,2007-12-06
2526,friday september 18 1998,1998-09-18
2527,july 14 1974,1974-07-14
2528,may 1 2008,2008-05-01
2529,jan 15 2009,2009-01-15
2530,jul 14 1984,1984-07-14
2531,02 jun 2007,2007-06-02
2532,saturday june 22 1974,1974-06-22
2533,11 mar 1971,1971-03-11
2534,february 5 2012,2012-02-05
2535,thursday march 26 1992,1992-03-26
2536,5 feb 1971,1971-02-05
2537,20.04.86,1986-04-20
2538,wednesday june 17 1981,1981-06-17
2539,may 23 2004,2004-05-23
2540,10 february 1999,1999-02-10
2541,july 20 2014,2014-07-20
2542,30 july 2003,2003-07-30
2543,16 mar 1976,1976-03-16
2544,friday june 1 2012,2012-06-01
2545,03 jul 1995,1995-07-03
2546,9 october 2009,2009-10-09
2547,6 aug 1995,1995-08-06
2548,monday march 4 2002,2002-03-04
2549,friday june 10 2011,2011-06-10
2550,22 november 2009,2009-11-22
2551,wednesday march 8 2000,2000-03-08
2552,tuesday august 21 1990,1990-08-21
2553,saturday october 23 1976,1976-10-23
2554,thursday july 18 2002,2002-07-18
2555,saturday january 3 2015,2015-01-03
2556,thursday december 19 1985,1985-12-19
2557,may 30 2003,2003-05-30
2558,sunday january 11 2004,2004-01-11
2559,7 06 95,1995-06-07
2560,18.07.70,1970-07-18
2561,31 01 74,1974-01-31
2562,30 jun 2017,2017-06-30
2563,28 february 1975,1975-02-28
2564,16 may 2013,2013-05-16
2565,march 30 1973,1973-03-30
2566,wednesday march 11 1970,1970-03-11
2567,20 sep 2017,2017-09-20
2568,16 oct 2000,2000-10-16
2569,17 july 1970,1970-07-17
2570,31 aug 2015,2015-08-31
2571,saturday june 11 1983,1983-06-11
2572,august 6 2001,2001-08-06
2573,7 dec 1998,1998-12-07
2574,saturday october 1 1988,1988-10-01
2575,16 jun 2011,2011-06-16
2576,november 21 1973,1973-11-21
2577,8/5/07,2007-08-05
2578,saturday december 19 2009,2009-12-19
2579,13 feb 2017,2017-02-13
2580,25 december 1981,1981-12-25
2581,12 apr 2006,2006-04-12
2582,4 january 1998,1998-01-04
2583,jul 3 1984,1984-07-03
2584,sunday august 18 1974,1974-08-18
2585,sunday february 19 1989,1989-02-19
2586,15.04.86,1986-04-15
2587,26 jul 1970,1970-07-26
2588,23 july 2003,2003-07-23
2589,may 29 2009,2009-05-29
2590,jul 7 1995,1995-07-07
2591,august 22 1976,1976-08-22
2592,2 apr 2002,2002-04-02
2593,12/28/00,2000-12-28
2594,24 dec 2003,2003-12-24
2595,tuesday august 11 2009,2009-08-11
2596,tuesday february 13 1979,1979-02-13
2597,4 october 1986,1986-10-04
2598,december 1 2008,2008-12-01
2599,5 june 1987,1987-06-05
2600,friday october 12 2012,2012-10-12
2601,07 dec 2011,2011-12-07
2602,monday september 23 1996,1996-09-23
2603,sunday july 29 2007,2007-07-29
2604,friday september 30 2016,2016-09-30
2605,friday september 15 2000,2000-09-15
2606,tuesday october 8 1991,1991-10-08
2607,apr 27 1976,1976-04-27
2608,19 jan 2005,2005-01-19
2609,17 aug 2011,2011-08-17
2610,6 07 99,1999-07-06
2611,05 jul 1973,1973-07-05
2612,11 may 1973,1973-05-11
2613,monday november 19 2001,2001-11-19
2614,sunday february 2 1992,1992-02-02
2615,august 25 1997,1997-08-25
2616,saturday november 18 1989,1989-11-18
2617,08 feb 1983,1983-02-08
2618,wednesday february 11 1987,1987-02-11
2619,13 november 1976,1976-11-13
2620,23 february 2003,2003-02-23
2621,tuesday may 31 2011,2011-05-31
2622,3 dec 2014,2014-12-03
2623,wednesday september 9 1987,1987-09-09
2624,27 nov 1990,1990-11-27
2625,22 june 2010,2010-06-22
2626,monday november 14 1988,1988-11-14
2627,28 nov 2012,2012-11-28
2628,saturday june 19 1971,1971-06-19
2629,17.07.12,2012-07-17
2630,19 jul 1979,1979-07-19
2631,april 19 1974,1974-04-19
2632,january 25 1995,1995-01-25
2633,thursday october 4 1979,1979-10-04
2634,saturday april 20 2002,2002-04-20
2635,sunday november 8 1987,1987-11-08
2636,jul 15 2009,2009-07-15
2637,sep 5 2008,2008-09-05
2638,friday august 17 1973,1973-08-17
2639,september 3 2013,2013-09-03
2640,19 july 2009,2009-07-19
2641,august 5 1989,1989-08-05
2642,07 nov 1972,1972-11-07
2643,15 apr 1994,1994-04-15
2644,january 7 1971,1971-01-07
2645,sunday february 7 1993,1993-02-07
2646,friday march 28 1986,1986-03-28
2647,wednesday july 14 1971,1971-07-14
2648,february 10 2005,2005-02-10
2649,saturday november 20 1999,1999-11-20
2650,february 1 1972,1972-02-01
2651,11 jul 2004,2004-07-11
2652,thursday october 22 1992,1992-10-22
2653,apr 27 2011,2011-04-27
2654,27 sep 2017,2017-09-27
2655,december 15 2008,2008-12-15
2656,september 24 1975,1975-09-24
2657,saturday may 30 1981,1981-05-30
2658,sunday november 2 1986,1986-11-02
2659,thursday november 12 2009,2009-11-12
2660,monday march 2 2015,2015-03-02
2661,6 august 1990,1990-08-06
2662,11 may 1981,1981-05-11
2663,august 13 2006,2006-08-13
2664,30 sep 1994,1994-09-30
2665,01 jun 1976,1976-06-01
2666,friday july 4 1980,1980-07-04
2667,24 august 2000,2000-08-24
2668,august 26 1997,1997-08-26
2669,8/3/17,2017-08-03
2670,4 02 06,2006-02-04
2671,wednesday june 18 1980,1980-06-18
2672,9/18/14,2014-09-18
2673,friday november 26 1971,1971-11-26
2674,saturday may 16 1987,1987-05-16
2675,21 aug 1988,1988-08-21
2676,june 17 1992,1992-06-17
2677,16 mar 1978,1978-03-16
2678,10 january 1995,1995-01-10
2679,06 dec 1978,1978-12-06
2680,january 25 2014,2014-01-25
2681,27 04 85,1985-04-27
2682,tuesday november 26 1996,1996-11-26
2683,03 aug 1987,1987-08-03
2684,thursday july 20 2000,2000-07-20
2685,15 aug 1990,1990-08-15
2686,5 10 16,2016-10-05
2687,25 aug 1974,1974-08-25
2688,17 july 1971,1971-07-17
2689,wednesday august 18 1993,1993-08-18
2690,thursday august 8 1991,1991-08-08
2691,19 nov 2005,2005-11-19
2692,may 6 2000,2000-05-06
2693,04.08.86,1986-08-04
2694,sunday june 24 1990,1990-06-24
2695,20 jun 1985,1985-06-20
2696,21.03.95,1995-03-21
2697,3 may 1999,1999-05-03
2698,thursday september 20 2007,2007-09-20
2699,8/26/92,1992-08-26
2700,aug 5 2016,2016-08-05
2701,january 7 1998,1998-01-07
2702,march 24 1999,1999-03-24
2703,10 october 2005,2005-10-10
2704,feb 19 1983,1983-02-19
2705,9/15/77,1977-09-15
2706,december 6 1993,1993-12-06
2707,31 january 2013,2013-01-31
2708,8/1/02,2002-08-01
2709,july 27 1977,1977-07-27
2710,friday december 24 1999,1999-12-24
2711,1 december 1974,1974-12-01
2712,14 dec 1981,1981-12-14
2713,saturday march 11 1995,1995-03-11
2714,15 03 10,2010-03-15
2715,oct 27 2015,2015-10-27
2716,18 october 1989,1989-10-18
2717,27 mar 2017,2017-03-27
2718,july 16 1978,1978-07-16
2719,tuesday september 23 1997,1997-09-23
2720,11 december 1989,1989-12-11
2721,23 dec 2016,2016-12-23
2722,friday january 19 1979,1979-01-19
2723,september 24 1972,1972-09-24
2724,wednesday november 30 1988,1988-11-30
2725,07.04.89,1989-04-07
2726,saturday april 27 1996,1996-04-27
2727,6/2/98,1998-06-02
2728,17 dec 1977,1977-12-17
2729,05 nov 1971,1971-11-05
2730,friday august 19 1988,1988-08-19
2731,wednesday may 8 2013,2013-05-08
2732,28 apr 1970,1970-04-28
2733,9 april 2001,2001-04-09
2734,04 jan 1991,1991-01-04
2735,17 jan 2009,2009-01-17
2736,saturday august 25 2001,2001-08-25
2737,monday june 24 1996,1996-06-24
2738,15 sep 1986,1986-09-15
2739,wednesday november 24 1976,1976-11-24
2740,9 june 1990,1990-06-09
2741,2 09 80,1980-09-02
2742,sunday february 14 1971,1971-02-14
2743,28 october 2012,2012-10-28
2744,january 23 2008,2008-01-23
2745,4 april 1974,1974-04-04
2746,sunday february 12 1989,1989-02-12
2747,january 3 1990,1990-01-03
2748,13 jul 1992,1992-07-13
2749,16 06 11,2011-06-16
2750,10 sep 1974,1974-09-10
2751,dec 27 1997,1997-12-27
2752,dec 12 1984,1984-12-12
2753,5 april 1976,1976-04-05
2754,saturday december 31 1983,1983-12-31
2755,18 dec 1974,1974-12-18
2756,saturday december 23 2006,2006-12-23
2757,friday march 19 1982,1982-03-19
2758,saturday july 29 2000,2000-07-29
2759,tuesday june 9 1998,1998-06-09
2760,03 jul 2016,2016-07-03
2761,3 08 82,1982-08-03
2762,june 11 1989,1989-06-11
2763,wednesday may 21 2008,2008-05-21
2764,monday february 4 2002,2002-02-04
2765,22 07 96,1996-07-22
2766,wednesday november 3 1976,1976-11-03
2767,25 january 1981,1981-01-25
2768,march 21 1987,1987-03-21
2769,22.04.84,1984-04-22
2770,6/23/76,1976-06-23
2771,2 october 1994,1994-10-02
2772,friday november 13 1981,1981-11-13
2773,march 31 1985,1985-03-31
2774,saturday may 5 2007,2007-05-05
2775,sunday august 13 2006,2006-08-13
2776,31 jan 1978,1978-01-31
2777,sunday february 10 1991,1991-02-10
2778,08 aug 1977,1977-08-08
2779,03 jan 2002,2002-01-03
2780,sep 14 1989,1989-09-14
2781,20 january 1974,1974-01-20
2782,25 feb 2002,2002-02-25
2783,monday july 9 1990,1990-07-09
2784,jun 26 1998,1998-06-26
2785,thursday may 7 1970,1970-05-07
2786,4/20/78,1978-04-20
2787,sunday october 19 2014,2014-10-19
2788,monday july 10 2006,2006-07-10
2789,12/3/07,2007-12-03
2790,15 jun 2001,2001-06-15
2791,12 september 1998,1998-09-12
2792,9/24/71,1971-09-24
2793,20 jul 2011,2011-07-20
2794,monday february 18 2013,2013-02-18
2795,2 09 76,1976-09-02
2796,november 14 1989,1989-11-14
2797,26 jul 2017,2017-07-26
2798,august 13 1995,1995-08-13
2799,monday september 8 1997,1997-09-08
2800,friday january 16 1981,1981-01-16
2801,17 aug 1976,1976-08-17
2802,november 28 1993,1993-11-28
2803,monday november 6 1972,1972-11-06
2804,thursday march 9 2006,2006-03-09
2805,12 december 1996,1996-12-12
2806,friday november 18 2011,2011-11-18
2807,tuesday january 19 1993,1993-01-19
2808,saturday december 20 1980,1980-12-20
2809,25 february 1970,1970-02-25
2810,10 mar 1994,1994-03-10
2811,august 16 1984,1984-08-16
2812,25 jul 1978,1978-07-25
2813,friday november 23 2001,2001-11-23
2814,may 10 2016,2016-05-10
2815,9/24/94,1994-09-24
2816,tuesday september 22 1981,1981-09-22
2817,thursday august 8 1991,1991-08-08
2818,friday february 8 1974,1974-02-08
2819,wednesday august 24 1977,1977-08-24
2820,thursday december 1 1988,1988-12-01
2821,saturday january 22 1977,1977-01-22
2822,9 february 1974,1974-02-09
2823,wednesday september 8 1971,1971-09-08
2824,friday april 1 2016,2016-04-01
2825,sunday march 2 1975,1975-03-02
2826,29 march 2007,2007-03-29
2827,monday april 13 2009,2009-04-13
2828,january 18 1970,1970-01-18
2829,20.10.01,2001-10-20
2830,december 8 1979,1979-12-08
2831,1/10/14,2014-01-10
2832,monday august 31 1981,1981-08-31
2833,saturday december 12 2009,2009-12-12
2834,19 mar 2012,2012-03-19
2835,10 january 2000,2000-01-10
2836,wednesday february 7 1979,1979-02-07
2837,monday october 10 1994,1994-10-10
2838,saturday december 9 2006,2006-12-09
2839,monday november 7 2005,2005-11-07
2840,2 jun 2017,2017-06-02
2841,9 july 1993,1993-07-09
2842,tuesday may 6 1997,1997-05-06
2843,june 24 2011,2011-06-24
2844,17 apr 2001,2001-04-17
2845,23 aug 2004,2004-08-23
2846,22 apr 1970,1970-04-22
2847,saturday october 7 1995,1995-10-07
2848,monday july 12 1976,1976-07-12
2849,saturday august 28 2004,2004-08-28
2850,11 april 2010,2010-04-11
2851,31 aug 1996,1996-08-31
2852,friday july 13 1990,1990-07-13
2853,8 june 1996,1996-06-08
2854,december 19 2014,2014-12-19
2855,friday september 17 1976,1976-09-17
2856,friday october 27 2017,2017-10-27
2857,08.07.10,2010-07-08
2858,27 nov 1995,1995-11-27
2859,august 2 1974,1974-08-02
2860,monday august 24 1992,1992-08-24
2861,04.01.14,2014-01-04
2862,july 23 1989,1989-07-23
2863,friday june 8 1990,1990-06-08
2864,26 jun 2015,2015-06-26
2865,saturday november 8 2008,2008-11-08
2866,november 23 1979,1979-11-23
2867,friday december 15 2000,2000-12-15
2868,jun 26 2010,2010-06-26
2869,friday august 21 1970,1970-08-21
2870,monday september 1 1975,1975-09-01
2871,friday december 9 1983,1983-12-09
2872,13 sep 1974,1974-09-13
2873,sunday april 6 1986,1986-04-06
2874,4/19/87,1987-04-19
2875,wednesday february 5 2014,2014-02-05
2876,18 october 1992,1992-10-18
2877,12/5/97,1997-12-05
2878,13 july 2011,2011-07-13
2879,friday october 15 1976,1976-10-15
2880,11 dec 2015,2015-12-11
2881,07.06.86,1986-06-07
2882,03.05.17,2017-05-03
2883,27 july 2000,2000-07-27
2884,saturday december 4 1971,1971-12-04
2885,19.09.82,1982-09-19
2886,thursday october 29 1998,1998-10-29
2887,thursday may 28 1981,1981-05-28
2888,march 23 2014,2014-03-23
2889,saturday september 18 1976,1976-09-18
2890,thursday february 3 2011,2011-02-03
2891,12/26/03,2003-12-26
2892,9 december 1983,1983-12-09
2893,22 september 2003,2003-09-22
2894,october 19 1994,1994-10-19
2895,thursday january 28 1999,1999-01-28
2896,monday august 30 1982,1982-08-30
2897,friday march 1 1985,1985-03-01
2898,28 11 72,1972-11-28
2899,may 9 2016,2016-05-09
2900,17 nov 1998,1998-11-17
2901,wednesday june 19 1985,1985-06-19
2902,november 18 1981,1981-11-18
2903,thursday august 31 2017,2017-08-31
2904,april 20 1972,1972-04-20
2905,24.09.74,1974-09-24
2906,25 october 1996,1996-10-25
2907,saturday june 5 1971,1971-06-05
2908,27 march 2013,2013-03-27
2909,1 dec 2011,2011-12-01
2910,november 7 2013,2013-11-07
2911,saturday march 4 1995,1995-03-04
2912,thursday march 2 1989,1989-03-02
2913,29 sep 2008,2008-09-29
2914,24 oct 1988,1988-10-24
2915,friday february 20 2004,2004-02-20
2916,saturday april 1 1989,1989-04-01
2917,friday october 5 1973,1973-10-05
2918,saturday december 23 1989,1989-12-23
2919,monday july 12 2010,2010-07-12
2920,saturday september 30 1989,1989-09-30
2921,tuesday april 17 1979,1979-04-17
2922,monday march 7 1988,1988-03-07
2923,03.12.77,1977-12-03
2924,wednesday june 5 1991,1991-06-05
2925,5 july 2016,2016-07-05
2926,31 october 1989,1989-10-31
2927,sunday august 13 2006,2006-08-13
2928,friday april 6 2012,2012-04-06
2929,friday december 21 2012,2012-12-21
2930,06 dec 2011,2011-12-06
2931,friday february 16 2007,2007-02-16
2932,oct 24 1983,1983-10-24
2933,26 mar 1987,1987-03-26
2934,sunday september 20 2015,2015-09-20
2935,18 oct 1981,1981-10-18
2936,9/7/14,2014-09-07
2937,thursday march 27 1997,1997-03-27
2938,october 5 2007,2007-10-05
2939,10 july 2006,2006-07-10
2940,11 june 1991,1991-06-11
2941,25 may 2009,2009-05-25
2942,29 jul 1986,1986-07-29
2943,9/29/75,1975-09-29
2944,2 12 03,2003-12-02
2945,11 november 1979,1979-11-11
2946,saturday november 13 1976,1976-11-13
2947,thursday january 10 2013,2013-01-10
2948,november 27 1980,1980-11-27
2949,friday october 8 2010,2010-10-08
2950,13 aug 1984,1984-08-13
2951,07.03.92,1992-03-07
2952,monday march 5 1979,1979-03-05
2953,sunday june 4 1995,1995-06-04
2954,thursday december 9 1982,1982-12-09
2955,06.02.77,1977-02-06
2956,feb 2 1976,1976-02-02
2957,9 november 2004,2004-11-09
2958,saturday september 19 1970,1970-09-19
2959,18 09 83,1983-09-18
2960,saturday july 5 2008,2008-07-05
2961,friday september 15 1995,1995-09-15
2962,12/25/13,2013-12-25
2963,monday march 27 2006,2006-03-27
2964,saturday july 8 2000,2000-07-08
2965,sunday june 14 2009,2009-06-14
2966,12 may 2015,2015-05-12
2967,august 29 2014,2014-08-29
2968,monday august 11 1997,1997-08-11
2969,thursday october 13 2011,2011-10-13
2970,friday may 16 2008,2008-05-16
2971,may 12 1983,1983-05-12
2972,monday april 1 1974,1974-04-01
2973,monday may 21 2007,2007-05-21
2974,friday june 19 1970,1970-06-19
2975,feb 19 2008,2008-02-19
2976,12/5/15,2015-12-05
2977,october 10 1984,1984-10-10
2978,february 9 1976,1976-02-09
2979,06.04.82,1982-04-06
2980,18 october 2000,2000-10-18
2981,06 oct 1999,1999-10-06
2982,3/28/79,1979-03-28
2983,16 september 1996,1996-09-16
2984,friday march 30 2018,2018-03-30
2985,18 september 1989,1989-09-18
2986,monday may 11 1992,1992-05-11
2987,13 jun 2001,2001-06-13
2988,23 05 92,1992-05-23
2989,24 january 2016,2016-01-24
2990,wednesday february 24 1988,1988-02-24
2991,thursday april 1 1976,1976-04-01
2992,9 september 2010,2010-09-09
2993,17 nov 2002,2002-11-17
2994,march 4 1989,1989-03-04
2995,saturday march 7 1981,1981-03-07
2996,sunday january 11 1987,1987-01-11
2997,16.01.18,2018-01-16
2998,10 10 02,2002-10-10
2999,26 november 2005,2005-11-26
3000,23 jan 2018,2018-01-23
3001,4/14/09,2009-04-14
3002,saturday september 7 1996,1996-09-07
3003,tuesday december 5 1972,1972-12-05
3004,28 aug 1991,1991-08-28
3005,18 nov 1996,1996-11-18
3006,14.08.70,1970-08-14
3007,friday november 8 1985,1985-11-08
3008,thursday september 24 1998,1998-09-24
3009,sunday january 7 2018,2018-01-07
3010,may 2 1998,1998-05-02
3011,friday june 28 1996,1996-06-28
3012,april 20 2008,2008-04-20
3013,15 02 81,1981-02-15
3014,tuesday september 12 1972,1972-09-12
3015,december 25 1983,1983-12-25
3016,saturday february 6 1993,1993-02-06
3017,4 august 1992,1992-08-04
3018,wednesday may 13 1987,1987-05-13
3019,thursday march 3 2016,2016-03-03
3020,april 8 1977,1977-04-08
3021,22 feb 2007,2007-02-22
3022,sunday january 6 1991,1991-01-06
3023,4 october 2011,2011-10-04
3024,12.12.14,2014-12-12
3025,november 14 1993,1993-11-14
3026,12 10 07,2007-10-12
3027,10/14/93,1993-10-14
3028,september 28 2017,2017-09-28
3029,thursday january 27 2000,2000-01-27
3030,january 17 2004,2004-01-17
